sku,name,slug,description,price,category_slug,stock,images,brand,attributes
"PAL-001,""Палатка 4-местная"",""palatka-4-mestnaya"",""Лёгкая палатка для семьи"",5000,turizm,2,""/img/p1.jpg"",""Hiker"",""{""""capacity"""":""""4""""}"""
"MGR-002,""Мангал складной"",""mangal-skladnoj"",""Компактный мангал для дачи"",2500,otdyh,5,""/img/m1.jpg"",""GrillPro"",""{""""material"""":""""сталь""""}"""
"GRL-003,""Газовый гриль"",""gazovyj-gril"",""Гриль с 3 конфорками"",12000,dacha,3,""/img/g1.jpg"",""BBQMaster"",""{""""fuel"""":""""газ""""}"""
"KOS-004,""Бензокоса"",""benzokosa"",""Мощная бензокоса для травы"",8500,ogorod,1,""/img/k1.jpg"",""Stihl"",""{""""power"""":""""1.2kW""""}"""
"TRI-005,""Триммер электрический"",""trimmer"",""Лёгкий триммер для травы"",4500,ogorod,4,""/img/t1.jpg"",""Bosch"",""{""""type"""":""""электрический""""}"""
"HLD-006,""Холодильник двухкамерный"",""holodilnik"",""Холодильник No Frost"",45000,bytovaya-tehnika,2,""/img/h1.jpg"",""Indesit"",""{""""volume"""":""""320""""}"""
"STR-007,""Стиральная машина"",""stiralnaya-mashina"",""Автомат с загрузкой 7кг"",32000,bytovaya-tehnika,3,""/img/s1.jpg"",""LG"",""{""""load"""":""""7""""}"""
"POS-008,""Посудомоечная машина"",""posudomoechnaya-mashina"",""Встраиваемая посудомойка"",28000,bytovaya-tehnika,2,""/img/pm1.jpg"",""Electrolux"",""{""""capacity"""":""""12комплектов""""}"""
"PLT-009,""Электроплита"",""elektroplita"",""Плита с духовкой и грилем"",25000,bytovaya-tehnika,4,""/img/pl1.jpg"",""Hansa"",""{""""burners"""":""""4""""}"""
"KRS-010,""Кресло-качалка"",""kreslo-kachalka"",""Садовое кресло из дерева"",6500,dacha,6,""/img/kr1.jpg"",""GardenDream"",""{""""material"""":""""дерево""""}"""
"SKM-011,""Садовые качели"",""sadovye-kacheli"",""Качели на 3 персоны"",18000,dacha,2,""/img/q1.jpg"",""ComfortLife"",""{""""seats"""":""""3""""}"""
"TNT-012,""Навес для авто"",""naves-dlya-avto"",""Тент для автомобиля 3x6м"",12000,dacha,1,""/img/tent1.jpg"",""Avangard"",""{""""size"""":""""3x6м""""}"""
"KTP-013,""Котелок походный"",""kotelok"",""Котелок 3 литра для костра"",900,turizm,15,""/img/kot1.jpg"",""Tourist"",""{""""volume"""":""""3л""""}"""
"RUK-014,""Рюкзак туристический"",""ryukzak"",""Рюкзак 70л с поясным ремнём"",3500,turizm,7,""/img/r1.jpg"",""Tramp"",""{""""volume"""":""""70л""""}"""
"SPL-015,""Спальный мешок"",""spalnyj-meshok"",""Спальник для +5 градусов"",2800,turizm,9,""/img/sp1.jpg"",""Nordway"",""{""""temperature"""":""""+5""""}"""
"GREL-016,""Грелка солнечная"",""grelka-solnechnaya"",""Грелка на солнечных батареях"",1500,otdyh,12,""/img/gs1.jpg"",""SunHeat"",""{""""power_source"""":""""солнечная""""}"""
"LEJ-017,""Шезлонг"",""shezlong"",""Раскладной шезлонг для дачи"",3200,dacha,8,""/img/sh1.jpg"",""BeachTime"",""{""""material"""":""""алюминий, ткань""""}"""
"SHA-018,""Шатер садовый"",""shater"",""Шатер 3x3м с москитной сеткой"",15000,dacha,2,""/img/sha1.jpg"",""GardenParty"",""{""""size"""":""""3x3м""""}"""
"POL-019,""Поливочный шланг"",""polivochnyj-shlang"",""Шланг 20м, армированный"",1800,ogorod,10,""/img/ps1.jpg"",""HozHose"",""{""""length"""":""""20м""""}"""
"OPR-020,""Опрыскиватель садовый"",""opryskivatel"",""Ранцевый опрыскиватель 12л"",2500,ogorod,4,""/img/o1.jpg"",""Gardena"",""{""""volume"""":""""12л""""}"""
"TEP-021,""Теплица из поликарбоната"",""teplica"",""Теплица 3x6м"",28000,ogorod,1,""/img/tepl1.jpg"",""Harvest"",""{""""size"""":""""3x6м""""}"""
"LOP-022,""Лопата штыковая"",""lopata"",""Лопата из стали с черенком"",800,ogorod,20,""/img/l1.jpg"",""ToolPro"",""{""""material"""":""""сталь""""}"""
"GRB-023,""Грабли садовые"",""grabli"",""Грабли стальные 12 зубьев"",600,ogorod,15,""/img/gr1.jpg"",""ToolPro"",""{""""teeth"""":""""12""""}"""
"KLT-024,""Культиватор ручной"",""kultivator"",""Ручной культиватор 5 зубьев"",1200,ogorod,8,""/img/kul1.jpg"",""Gardena"",""{""""width"""":""""15см""""}"""
"MIK-025,""Микроволновая печь"",""mikrovolnovka"",""Микроволновка 20л"",8000,bytovaya-tehnika,5,""/img/mw1.jpg"",""Samsung"",""{""""volume"""":""""20л""""}"""
"CHN-026,""Чайник электрический"",""chajnik"",""Чайник 1.7л, 2200Вт"",3000,bytovaya-tehnika,7,""/img/ch1.jpg"",""Redmond"",""{""""volume"""":""""1.7л""""}"""
"BLN-027,""Блендер погружной"",""blender"",""Блендер с насадками"",4000,bytovaya-tehnika,6,""/img/b1.jpg"",""Philips"",""{""""power"""":""""800Вт""""}"""
"UYV-028,""Пылесос"",""pylesos"",""Пылесос с контейнером"",7500,bytovaya-tehnika,4,""/img/pyl1.jpg"",""Thomas"",""{""""type"""":""""контейнерный""""}"""
"MOR-029,""Морозильная камера"",""morozilnaya-kamera"",""Морозилка 150л"",22000,bytovaya-tehnika,2,""/img/mor1.jpg"",""Biryusa"",""{""""volume"""":""""150л""""}"""
"KOF-030,""Кофеварка"",""kofevarka"",""Капельная кофеварка"",5000,bytovaya-tehnika,5,""/img/kof1.jpg"",""Braun"",""{""""type"""":""""капельная""""}"""
"FEN-031,""Фен"",""fen"",""Фен 2200Вт с ионизацией"",2500,bytovaya-tehnika,9,""/img/f1.jpg"",""Rowenta"",""{""""power"""":""""2200Вт""""}"""
"UTY-032,""Утюг"",""utyug"",""Утюг с парогенератором"",6000,bytovaya-tehnika,4,""/img/u1.jpg"",""Tefal"",""{""""power"""":""""2600Вт""""}"""
"MSH-033,""Мойка высокого давления"",""mojka-davlenie"",""Мойка 140 бар"",11000,dacha,2,""/img/moy1.jpg"",""Karcher"",""{""""pressure"""":""""140бар""""}"""
"SVG-034,""Садовый измельчитель"",""izmelchitel"",""Измельчитель веток"",18500,ogorod,1,""/img/izm1.jpg"",""AL-KO"",""{""""power"""":""""2500Вт""""}"""
"PIC-035,""Пикниковый набор"",""piknikovyj-nabor"",""Набор из 4 предметов"",3200,otdyh,6,""/img/pik1.jpg"",""PicnicTime"",""{""""items"""":""""4""""}"""
